Role,Email,Password
Admin,mailto:admin@rps.com,realestate
Publisher,mailto:publisher1@rps.com,realestate
Subscriber 1,mailto:subscriber1@rps.com,realestate
Subscriber 2,mailto:subscriber1@rps.com,realestate
Subscriber 3,mailto:subscriber1@rps.com,realestate
Subscriber 4,mailto:subscriber1@rps.com,realestate
Subscriber 5,mailto:subscriber1@rps.com,realestate
Subscriber 6,mailto:subscriber1@rps.com,realestate
Subscriber 7,mailto:subscriber1@rps.com,realestate
Subscriber 8,mailto:subscriber1@rps.com,realestate
Subscriber 9,mailto:subscriber1@rps.com,realestate
Subscriber 10,mailto:subscriber1@rps.com,realestate
